City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Tibiri,NE,86.74,overcast clouds,13.5627,7.0485,FADA GAO FA TIBIRI
135,Swan River,CA,70.11,scattered clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
136,Bethel,US,87.19,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
137,Haldwani,IN,81.23,heavy intensity rain,29.2167,79.5167,OYO Premium Nainital Road Haldwani
140,Moundou,TD,72.73,overcast clouds,8.5667,16.0833,Planete Life
141,Mitzic,GA,69.51,few clouds,0.7821,11.549,Motel Emys
143,Nanlong,CN,81.18,overcast clouds,31.3533,106.0631,Demei Hotel
144,Acapulco,MX,84.69,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
148,Thompson,CA,73.11,scattered clouds,55.7435,-97.8558,Burntwood Hotel
152,Fayaoue,NC,69.75,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
153,Sechura,PE,72.01,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
155,Naron,ES,70.59,light rain,43.5167,-8.1528,Marcial
156,Poum,NC,69.87,clear sky,-20.2333,164.0167,
157,Sinnamary,GF,79.92,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
160,Carquefou,FR,82.47,clear sky,47.2982,-1.4902,Best Western Plus Hôtel de la Régate
161,Lastoursville,GA,79.7,broken clouds,-0.8143,12.7287,Auberge Bon Coin 02
162,Seoul,KR,74.59,overcast clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
164,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
167,Kapaa,US,82.47,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
169,Half Moon Bay,US,87.42,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
172,Carutapera,BR,77.52,broken clouds,-1.195,-46.02,Lidera
174,Broome,US,79.63,scattered clouds,42.2506,-75.833,Chenango Valley State Park
177,Rabo De Peixe,PT,72.28,few clouds,37.8,-25.5833,Quinta das Giestas
178,Jiuquan,CN,75.61,clear sky,39.7432,98.5174,Jiuquan Hotel
185,Yarmouth,US,75.34,broken clouds,41.7057,-70.2286,Blue Rock Resort
186,Palembang,ID,78.89,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
187,Mbini,GQ,76.35,overcast clouds,1.574,9.6134,
188,Qui Nhon,VN,80.17,heavy intensity rain,13.7667,109.2333,Seagull Hotel
